Location,Commodity,Price,Temperature,Rainfall,Humidity,
Lagos,Rice,4000,30,5,70,
Abuja,Tomatoes,250,28,3,65,
Kano,Beans,3000,32,2,60,
Port Harcourt,Yam,1500,29,4,68,
Ibadan,Plantain,1000,31,6,72,
Kaduna,Palm Oil,2000,27,1,75,
Enugu,Cassava,800,30,5,70,
Benin City,Pepper,300,28,3,65,
Sokoto,Maize,1200,33,2,60,
Jos,Groundnut,1800,29,4,68,
Calabar,Melon,600,31,6,72,
Maiduguri,Sorghum,1500,27,1,75,
Owerri,Cocoa,2500,30,5,70,
Katsina,Cowpea,2000,28,3,65,
Aba,Pineapple,700,32,2,60,
Abeokuta,Cotton,1000,29,4,68,
Uyo,Coffee,3000,31,6,72,
Warri,Onion,500,27,1,75,
Ogbomosho,Cocoa,2200,30,5,70,
Kubwa,Garri,1500,28,3,65,
Nsukka,Cotton,800,32,2,60,
Akure,Groundnut,1400,29,4,68,
Oshogbo,Yam,1200,31,6,72,
Zaria,Rice,3500,27,1,75,
Ilorin,Tomatoes,300,30,5,70,
Ikeja,Palm Oil,1800,28,3,65,
Abeokuta,Beans,2800,32,2,60,
Ikorodu,Cassava,900,29,4,68,
Asaba,Pepper,350,31,6,72,
Bauchi,Melon,600,27,1,75,
Ado Ekiti,Sorghum,1300,30,5,70,
Minna,Plantain,1200,28,3,65,
Keffi,Cowpea,2200,32,2,60,
Gboko,Pineapple,800,29,4,68,
Makurdi,Cotton,900,31,6,72,
Gbongan,Cocoa,2300,27,1,75,
Epe,Garri,1600,30,5,70,
Awka,Groundnut,1500,28,3,65,
Offa,Yam,1100,32,2,60,
Ijebu  Ode,Rice,3800,29,4,68,
Igboho,Tomatoes,400,31,6,72,
Gusau,Palm Oil,2100,27,1,75,
Okene,Beans,2900,30,5,70,
Auchi,Cassava,1000,28,3,65,
